message_type,repeat_indicator,mmsi,navigation_status,rate_of_turn,speed_over_ground,position_accuracy,longitude,lon_hemisphere,latitude,lat_hemisphere,course_over_ground,true_heading,utc_second,sync_state,slot_timeout,raim_flag
1,0,636021221,15,-128.0,0.0,0,103.6794317,E,1.2947667,N,360.0,511,59,0,3,0
1,0,341987000,1,-128.0,2.9,1,103.7480800,E,1.2883583,N,183.7,511,1,0,6,1
3,0,563451000,0,+127.0,5.0,0,103.7607717,E,1.2634850,N,329.8,333,2,0,0,0
1,0,413133000,0,+0.0,0.3,1,103.7927933,E,1.2664817,N,306.4,31,2,0,3,0
3,0,636024446,0,+127.0,2.6,0,103.7601733,E,1.2868350,N,39.2,202,1,0,0,0
1,0,566824000,8,+127.0,0.0,0,103.7650500,E,1.2715100,N,126.2,299,5,0,0,1
1,0,563187800,0,+127.0,0.7,1,103.7792867,E,1.2664683,N,115.1,125,3,0,0,0
3,0,566530000,0,-720.0,0.5,0,103.7522517,E,1.2382317,N,226.7,77,6,0,0,1
1,0,563009190,0,-128.0,0.1,1,103.7602900,E,1.2911350,N,58.8,511,6,0,2,0
1,0,566623000,8,-128.0,0.1,1,103.7605017,E,1.2910250,N,21.1,511,6,0,1,0
1,0,563185100,0,+0.0,0.1,0,103.7602300,E,1.2910750,N,28.9,305,4,0,0,0
1,0,414360000,0,+0.4,0.0,1,103.8130200,E,1.2208867,N,159.9,294,59,0,4,0
1,0,477929200,0,+0.0,0.7,0,103.7807367,E,1.2677117,N,115.9,34,4,0,0,0
1,0,352001448,0,+1.6,0.4,1,103.7369200,E,1.2812400,N,74.3,309,54,0,2,0
1,0,636024446,0,+127.0,2.5,0,103.7601983,E,1.2868617,N,41.4,204,4,0,7,0
1,0,563184200,0,-128.0,0.0,0,103.7613433,E,1.2903617,N,289.6,511,8,0,5,0
1,0,352002402,0,-128.0,0.0,1,103.7541433,E,1.2967150,N,280.0,511,6,0,3,1
1,0,563021430,0,-128.0,0.1,1,103.7608317,E,1.2915600,N,136.2,511,9,0,3,1
1,0,563451000,0,+127.0,5.0,0,103.7606867,E,1.2636567,N,332.8,335,9,0,4,0
4,0,5631100,0,0,0,0,103.8000000,E,1.2666667,N,0,0,0,0,0,0
1,0,563029950,15,-128.0,0.1,1,103.7610833,E,1.2914800,N,360.0,511,10,0,1,1
1,0,341987000,1,-128.0,2.8,1,103.7480667,E,1.2882367,N,181.2,511,10,0,4,1
3,0,636024446,0,+127.0,2.5,0,103.7602400,E,1.2869017,N,43.7,206,9,0,0,0
1,0,413133000,0,+0.0,0.3,1,103.7927950,E,1.2664683,N,306.6,31,12,0,2,0
3,0,636024446,0,+127.0,2.4,0,103.7602633,E,1.2869267,N,45.2,207,12,0,0,0
3,0,565081000,0,-720.0,6.7,1,103.7590767,E,1.2668500,N,303.8,294,13,0,0,1
1,0,566530000,0,+0.0,0.4,1,103.7522250,E,1.2382217,N,224.1,75,15,0,5,1
1,0,563185100,0,+0.0,0.0,0,103.7602250,E,1.2910767,N,232.9,304,12,0,2,0
1,0,566052000,0,-128.0,0.0,0,103.7538983,E,1.2967850,N,261.2,511,16,0,2,1
1,0,563187800,0,+0.0,0.7,1,103.7793117,E,1.2664583,N,112.8,126,14,0,3,0
1,0,566623000,8,-128.0,0.1,1,103.7604867,E,1.2910200,N,21.1,511,18,0,0,0
1,0,248756000,0,+0.0,6.5,0,103.7695167,E,1.2603500,N,304.9,306,16,1,6,0
1,0,341987000,1,-128.0,2.9,1,103.7480667,E,1.2881433,N,182.3,511,17,0,0,1
1,0,563021430,0,-128.0,0.4,1,103.7608333,E,1.2915650,N,139.4,511,18,0,0,1
1,0,563066530,0,-128.0,0.2,1,103.7609133,E,1.2907333,N,184.0,511,18,0,3,0
1,0,563009180,0,-128.0,0.1,1,103.7506483,E,1.2801983,N,187.0,511,19,0,4,0
1,0,563029950,15,-128.0,0.0,1,103.7610817,E,1.2914800,N,360.0,511,19,0,3,1
3,0,636024446,0,+127.0,2.3,0,103.7603133,E,1.2869700,N,48.1,210,18,0,0,0
3,0,563083710,5,+4.5,0.0,1,103.7607833,E,1.2916633,N,294.7,511,19,0,5,0
1,0,563022400,0,-128.0,0.0,1,103.7557633,E,1.3026800,N,360.0,511,21,0,2,0
3,0,525200809,5,+0.0,0.0,1,103.7560333,E,1.2995000,N,198.0,165,21,0,5,0
3,0,563451000,0,+127.0,5.1,0,103.7605950,E,1.2639517,N,339.8,337,23,0,0,0
3,0,566530000,0,+0.0,0.2,1,103.7522150,E,1.2382200,N,223.8,74,23,0,0,1
3,0,636024446,0,+127.0,2.3,0,103.7603367,E,1.2869900,N,49.2,212,21,0,0,0
1,0,215158000,0,-1.1,10.3,0,103.6879633,E,1.2280033,N,220.5,220,22,0,7,0
1,0,413133000,0,+0.0,0.2,1,103.7927800,E,1.2664917,N,308.0,31,23,0,4,0
1,0,566530000,0,+0.0,0.2,1,103.7522150,E,1.2382200,N,224.1,73,25,0,5,1
1,0,566052000,0,-128.0,0.0,0,103.7539067,E,1.2967817,N,264.0,511,26,0,2,1
3,0,566096000,0,-128.0,1.4,1,103.7615050,E,1.2863900,N,152.9,511,26,0,1,1
1,0,477929200,0,+0.0,0.7,0,103.7807950,E,1.2676800,N,114.0,34,23,0,3,0
1,0,564215000,15,-128.0,0.3,1,103.7366867,E,1.2827717,N,66.9,511,25,0,5,1
1,0,563185100,0,+0.0,0.1,0,103.7602217,E,1.2910750,N,212.5,303,23,0,0,0
1,0,563187800,0,+0.0,0.8,1,103.7793400,E,1.2664517,N,113.1,127,23,0,4,0
1,0,352001448,0,+1.6,0.4,1,103.7369517,E,1.2812500,N,69.0,310,14,0,3,0
1,0,565418000,0,-128.0,0.1,1,103.7605133,E,1.2909050,N,360.0,511,27,0,7,1
1,0,563184200,0,-128.0,0.1,0,103.7613600,E,1.2903533,N,289.6,511,27,0,0,0
1,0,566623000,8,-128.0,0.1,1,103.7604917,E,1.2910233,N,21.1,511,28,0,3,0
